"","X","Tag","ID_Number","Grid.x","Habitat","Grid.Session.x","date.x","BaitSession","BaitGrid.x","Site.ID.x","Trap.x","Species","Recapture.x","Sex","Age","FINAL_RbPresent_First","Pr.IPA..ng.mL.","Et.IPA..ng.mL.","Rb.presence.last","Column2","Biomarker","Year","Bait","Season","Grid","Density","Area","Opossum","Raccoon","BaitGrid.y","Residency"
"458",458,264,"264_42804","R2","Riparian","R2-2","3/10/2017","Spring 2017","R2_Spring 2017","R2-2",3.2,"Raccoon","Initial","F","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","R2","75","0.5",0.0410747090855862,0.19997982050451,"R2_Spring ",2
"459",459,265,"265_42805","R4","Riparian","R4-2","3/11/2017","Spring 2017","R4_Spring 2017","R4-2",4.5,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","R4","75","0.5",1.03715075307207,-0.170708554591531,"R4_Spring ",1
"460",460,266,"266_42805","P2","Pine","P2-2","3/11/2017","Spring 2017","P2_Spring 2017","P2-2",5.2,"Raccoon","Initial","M","Juvenile",1,"","",NA,"1",1,2017,"Rhodamine","Spring","P2","75","0.5",-0.997424220418293,-0.38304814185324,"P2_Spring ",1
"461",461,267,"267_42807","R4","Riparian","R4-2","3/13/2017","Spring 2017","R4_Spring 2017","R4-2",4.5,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","R4","75","0.5",1.03715075307207,-0.170708554591531,"R4_Spring ",1
"462",462,268,"268_42813","P3","Pine","P3-2","3/19/2017","Spring 2017","P3_Spring 2017","P3-2",5.5,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","P3","75","0.5",-0.945917040512127,-0.777548236902218,"P3_Spring ",2
"463",463,269,"269_42814","B2","Bottomland","B2-2","3/20/2017","Spring 2017","B2_Spring 2017","B2-2",5.4,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","B2","75","0.5",1.15587645563119,0.927948619368414,"B2_Spring ",2
"464",464,270,"270_42814","B2","Bottomland","B2-2","3/20/2017","Spring 2017","B2_Spring 2017","B2-2",6.1,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","B2","75","0.5",1.15587645563119,0.927948619368414,"B2_Spring ",1
"465",465,271,"271_42815","B3","Bottomland","B3-2","3/21/2017","Spring 2017","B3_Spring 2017","B3-2",4.1,"Raccoon","Recapture","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","B3","75","0.5",-0.123348297672518,0.253585545529095,"B3_Spring ",1
"466",466,272,"272_42815","B3","Bottomland","B3-2","3/21/2017","Spring 2017","B3_Spring 2017","B3-2",7.1,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","B3","75","0.5",-0.123348297672518,0.253585545529095,"B3_Spring ",1
"467",467,275,"275_42815","W2","Wetland","W2-2","3/21/2017","Spring 2017","W2_Spring 2017","W2-2",5.2,"Raccoon","Initial","F","Juvenile",0,"","",NA,"0",0,2017,"Rhodamine","Spring","W2","75","0.5",-0.830107899925121,-0.358940736703237,"W2_Spring ",5
